 ,Area,Mean,Min,Max,Perim.,Angle,Length
1,2.083,210.532,93.353,231,39.881,109.714,39.881
2,0.952,212.434,48.615,231,18.205,19.058,18.205
3,2.191,221.941,0.000,231,41.966,-69.944,41.966
4,3.483,202.586,0.000,231,66.745,154.156,66.745
5,2.632,125.823,0.000,231,50.433,140.285,50.433
6,0.992,221.956,0.000,231,19.000,-107.241,19.000
7,0.971,228.432,84.000,231,18.586,143.902,18.586
8,0.769,230.415,171.000,231,14.691,116.565,14.691
9,0.788,230.292,167.000,231,15.047,3.576,15.047
10,1.142,226.356,52.000,231,21.867,-160.787,21.867
11,1.281,230.881,205.000,231,24.495,28.202,24.495
12,1.430,230.002,133.000,231,27.362,51.033,27.362
13,0.718,225.930,110.000,231,13.716,-45.000,13.716
14,1.058,223.636,36.000,231,20.223,-124.919,20.223
15,0.960,230.307,184.000,231,18.363,-171.180,18.363
16,2.254,230.689,182.000,231,43.176,53.545,43.176
17,1.126,224.393,61.000,231,21.531,125.538,21.531
18,0.837,225.036,102.000,231,15.990,149.421,15.990
19,1.400,227.628,2.547E-10,231,26.813,109.069,26.813
20,1.134,223.239,0.000,231,21.698,47.337,21.698
21,1.180,194.809,5.093E-10,231,22.582,-169.624,22.582
22,1.389,215.286,0.000,231,26.610,-92.021,26.610
