 ,Area,Mean,Min,Max,Perim.,Angle,Length
1,1.213,101.808,42.667,147.107,23.172,99.335,23.172
2,0.948,89.140,1.023E-11,140.667,18.105,-30.114,18.105
3,1.583,87.031,8.064E-11,142.811,30.304,-119.745,30.304
4,1.649,93.048,1.333,148.667,31.543,122.428,31.543
5,0.902,75.783,1.667,119.933,17.239,-2.083,17.239
6,1.450,96.329,26.667,143.789,27.708,-100.421,27.708
7,2.344,69.386,0.000,127.647,44.847,65.225,44.847
8,1.221,75.541,40.539,116.394,23.341,-40.101,23.341
9,1.668,94.055,68.333,143.727,31.906,-133.409,31.906
10,1.273,93.806,62.476,132.611,24.321,97.400,24.321
11,0.981,75.915,8.459,131.177,18.723,107.526,18.723
