 ,Area,Mean,Min,Max,Perim.,Angle,Length
1,3.315,55.932,11.348,172.372,63.592,27.195,63.592
2,3.152,74.910,10.487,171.809,60.471,41.019,60.471
3,1.411,136.853,32.663,173.278,27.043,157.584,27.043
4,4.017,130.967,14.398,169.402,77.106,-73.034,77.106
5,2.433,124.660,45.890,174.279,46.647,109.163,46.647
6,1.015,139.270,72.667,175.989,19.428,-154.259,19.428
7,1.362,125.687,37.667,175.389,26.090,-83.811,26.090
8,0.513,118.788,59.667,141.627,9.788,16.699,9.788
9,2.110,114.478,69.667,140.136,40.459,-4.874,40.459
10,0.958,122.594,43.000,152.063,18.342,81.180,18.342
11,1.698,123.470,34.391,167.706,32.544,168.366,32.544
12,1.712,123.465,30.000,171.225,32.814,-179.454,32.814
13,0.920,119.436,32.765,147.000,17.614,-115.201,17.614
