 ,Area,Mean,Min,Max,Perim.,Angle,Length
1,4.693,107.071,15.333,168.974,90.035,178.409,90.035
2,1.031,149.805,48.000,171.240,19.764,71.565,19.764
3,2.846,89.344,14.804,168.137,54.604,-5.254,54.604
4,0.833,121.180,53.366,155.784,15.950,-87.754,15.950
5,2.121,113.390,7.089,167.993,40.668,2.643,40.668
6,1.912,126.426,39.000,170.656,36.684,-13.799,36.684
7,1.671,147.004,105.186,177.781,32.028,-162.979,32.028
8,3.982,80.664,14.251,175.367,76.395,-170.345,76.395
9,2.770,123.140,11.513,167.897,53.148,-12.565,53.148
10,3.478,135.119,104.769,173.383,66.709,-173.274,66.709
11,3.328,119.589,69.539,159.391,63.833,15.329,63.833
12,2.154,124.761,93.463,161.781,41.322,149.556,41.322
13,3.109,126.116,53.057,167.655,59.612,-174.887,59.612
14,1.709,134.897,48.930,168.938,32.753,164.505,32.753
15,1.926,140.512,0.000,180.667,36.908,-158.649,36.908
16,2.289,115.281,18.417,160.476,43.897,28.025,43.897
17,1.299,125.338,16.437,169.431,24.884,-35.287,24.884
18,3.101,99.114,23.293,172.958,59.454,-167.863,59.454
19,2.691,82.147,0.000,167.842,51.593,-131.317,51.593
20,2.528,133.110,39.288,176.067,48.513,141.801,48.513
