 ,Area,Mean,Min,Max,Perim.,Angle,Length
1,1.622,126.588,55.667,173.511,31.087,30.174,31.087
2,1.679,100.740,18.333,135.748,32.212,104.036,32.212
3,3.453,102.008,17.425,146.687,66.240,-110.145,66.240
4,1.421,86.986,11.667,140.508,27.216,124.237,27.216
5,1.408,89.723,6.000,141.652,26.991,132.184,26.991
6,1.337,85.094,5.000,127.349,25.633,45.000,25.633
7,4.275,48.281,3.617,128.733,82.028,-77.234,82.028
8,4.153,86.735,23.370,149.797,79.700,-84.826,79.700
9,2.626,121.183,6.333,166.601,50.383,148.183,50.383
10,2.151,103.712,9.667,156.333,41.261,-21.318,41.261
11,7.812,43.639,0.356,153.260,149.950,-164.776,149.950
12,1.316,102.187,12.573,137.648,25.206,-47.010,25.206
13,2.195,106.932,47.385,150.142,42.072,58.671,42.072
14,1.516,85.723,4.333,166.785,29.051,31.809,29.051
15,1.324,116.705,21.000,168.878,25.361,22.457,25.361
16,3.385,117.603,0.132,174.000,64.964,-30.018,64.964
17,5.594,118.809,25.333,166.252,107.330,173.144,107.330
18,3.334,75.869,11.028,150.938,63.971,41.634,63.971
19,2.195,106.461,24.000,150.566,42.098,139.214,42.098
20,1.449,105.934,23.333,147.531,27.740,157.479,27.740
21,1.112,110.537,42.000,142.659,21.280,-150.046,21.280
22,1.584,96.443,22.960,139.986,30.353,-61.060,30.353
23,1.340,117.028,32.636,150.270,25.695,76.640,25.695
24,1.392,102.643,11.667,143.904,26.665,-10.125,26.665
25,1.693,129.928,111.333,144.832,32.423,-100.552,32.423
26,1.630,107.314,9.522,143.136,31.245,-30.669,31.245
27,1.546,121.033,22.667,174.545,29.633,117.646,29.633
28,1.072,119.900,51.333,155.505,20.542,-166.809,20.542
29,2.127,136.549,42.667,176.455,40.795,67.954,40.795
30,1.337,128.818,19.258,169.884,25.627,-127.569,25.627
31,3.513,84.733,4.310,173.050,67.397,-94.521,67.397
32,1.226,154.033,45.333,185.239,23.494,28.610,23.494
33,1.519,123.248,15.000,185.301,29.135,-112.714,29.135
34,1.487,128.061,29.333,175.708,28.504,142.125,28.504
35,1.175,144.629,71.333,181.630,22.509,-91.591,22.509
36,0.979,128.467,17.333,166.533,18.773,92.862,18.773
37,0.773,105.015,20.667,132.915,14.807,44.145,14.807
38,0.985,124.247,22.667,172.274,18.846,139.708,18.846
39,0.857,127.350,25.812,167.457,16.400,59.036,16.400
40,0.708,103.970,70.000,131.552,13.524,-130.314,13.524
41,1.194,127.651,17.144,176.667,22.889,-141.096,22.889
42,0.768,129.127,16.000,170.013,14.691,38.089,14.691
43,0.770,125.768,42.667,161.919,14.717,-3.652,14.717
44,1.487,142.557,36.160,185.012,28.504,142.125,28.504
45,0.814,139.836,41.333,175.845,15.569,-128.480,15.569
46,0.795,121.225,19.393,179.270,15.207,-80.538,15.207
47,0.841,123.240,21.667,164.626,16.108,18.083,16.108
48,1.340,136.070,53.667,183.423,25.694,-4.185,25.694
49,0.860,127.137,60.667,173.173,16.468,123.389,16.468
50,0.901,118.437,65.333,175.372,17.241,-136.469,17.241
51,4.335,151.091,56.667,181.109,83.175,66.999,83.175
52,1.099,141.579,77.333,177.950,21.049,-130.786,21.049
53,1.733,123.957,18.333,164.409,33.240,99.197,33.240
54,1.590,107.991,23.517,163.272,30.494,135.000,30.494
55,1.413,107.328,12.195,148.532,27.094,172.711,27.094
56,3.364,138.225,114.003,166.823,64.539,-49.910,64.539
57,4.183,104.999,25.961,159.211,80.244,85.533,80.244
58,3.000,113.438,80.869,145.385,57.544,-98.746,57.544
59,2.596,97.140,40.020,144.539,49.790,111.735,49.790
60,2.642,95.766,43.716,131.354,50.652,-74.249,50.652
61,2.021,87.853,19.287,153.876,38.761,-54.516,38.761
62,2.696,52.013,0.000,148.326,51.714,154.209,51.714
63,3.920,86.568,28.667,153.445,75.188,94.052,75.188
64,2.355,104.781,22.152,143.684,45.167,-8.354,45.167
65,4.197,44.241,1.441,161.908,80.541,-144.953,80.541
66,4.690,110.623,32.000,155.516,90.014,-159.048,90.014
67,4.012,49.721,1.800,163.151,76.979,-169.237,76.979
68,2.127,115.015,15.667,167.916,40.794,-98.813,40.794
69,1.896,111.374,27.071,167.181,36.363,-114.362,36.363
70,1.682,108.529,29.000,152.076,32.265,-134.215,32.265
71,1.253,97.430,23.759,159.987,24.012,141.340,24.012
72,1.565,100.770,23.333,150.889,30.007,-1.193,30.007
73,1.226,101.608,19.457,158.481,23.490,-40.684,23.490
74,1737.000,106.844,27.354,166.461,1735.753,177.424,1735.753
75,326.000,122.286,57.071,155.409,325.386,-84.710,325.386
76,810.000,117.514,54.880,168.996,808.844,-9.392,808.844
77,771.000,117.666,16.253,175.000,769.896,4.022,769.896
78,649.000,147.934,99.714,179.333,647.806,-164.419,647.806
79,398.000,127.904,110.683,167.481,396.590,10.460,396.590
80,661.000,144.558,67.000,173.607,660.136,-168.996,660.136
81,1013.000,123.671,11.333,173.230,1012.028,-11.976,1012.028
82,1058.000,129.236,37.789,172.591,1057.380,177.073,1057.380
83,1349.000,113.749,35.239,175.052,1347.544,-169.741,1347.544
84,1314.000,124.100,85.232,158.730,1312.739,13.211,1312.739
85,1311.000,60.152,11.755,158.661,1309.994,141.135,1309.994
86,286.000,157.625,137.000,171.909,285.237,-165.379,285.237
87,649.000,127.474,33.667,166.790,647.611,166.608,647.611
88,705.000,144.082,73.658,180.627,704.329,-156.930,704.329
89,918.000,133.436,48.829,174.780,917.372,141.106,917.372
90,920.000,131.744,110.425,155.195,919.254,-2.993,919.254
91,1175.000,103.294,26.236,173.672,1174.346,-168.805,1174.346
92,431.000,136.176,109.945,171.343,429.660,-35.910,429.660
93,863.000,114.094,27.319,159.684,861.538,27.814,861.538
94,864.000,127.928,13.333,177.355,862.687,66.644,862.687
95,1076.000,137.132,111.667,182.000,1075.407,-112.989,1075.407
96,1230.000,77.992,6.476,162.667,1229.048,99.554,1229.048
97,421.000,124.531,59.914,174.653,419.829,-120.964,419.829
98,344.000,123.614,60.568,156.541,343.208,-53.531,343.208
99,516.000,117.366,6.928,152.576,514.533,-121.651,514.533
100,570.000,86.930,25.000,154.286,569.210,124.695,569.210
101,401.000,107.261,16.671,171.183,400.250,40.135,400.250
102,1772.000,74.242,7.762,149.447,1770.895,120.997,1770.895
103,341.000,121.286,81.965,152.868,339.835,-47.862,339.835
104,224.000,113.893,25.333,160.942,222.729,4.635,222.729
105,309.000,115.343,20.333,156.662,307.877,-123.071,307.877
106,1125.000,42.316,2.438,142.092,1124.372,134.351,1124.372
107,2470.000,47.670,1.533,144.936,2469.159,-51.710,2469.159
108,561.000,114.931,15.333,183.911,560.446,158.654,560.446
109,508.000,120.497,50.667,170.183,507.027,140.281,507.027
110,348.000,104.651,24.000,126.870,346.653,66.541,346.653
