 ,Area,Mean,Min,Max,Perim.,Angle,Length
1,4.690,94.111,16.042,166.122,89.898,177.207,89.898
2,1.036,150.913,46.667,171.644,19.812,74.427,19.812
3,3.018,95.002,20.014,168.624,57.812,-5.279,57.812
4,0.780,120.399,79.138,157.910,14.916,-80.340,14.916
5,1.898,115.282,16.163,170.963,36.370,8.409,36.370
6,1.890,111.436,14.378,169.927,36.174,-5.957,36.174
7,2.393,124.885,35.635,183.919,45.846,-167.386,45.846
8,4.168,71.348,11.256,174.825,79.878,-170.759,79.878
9,3.972,135.976,79.009,174.647,76.116,-174.102,76.116
10,2.526,121.843,37.973,169.869,48.412,-14.216,48.412
11,4.043,123.461,81.531,162.572,77.474,14.261,77.474
12,2.597,125.059,86.942,152.515,49.749,150.210,49.749
13,1.308,151.216,129.622,171.308,25.031,-161.792,25.031
14,1.354,136.212,85.326,172.420,25.892,-136.469,25.892
15,1.041,132.426,92.446,163.946,19.910,8.130,19.910
16,1.920,126.450,0.000,167.936,36.754,168.212,36.754
17,1.852,146.339,77.823,181.172,35.453,-156.602,35.453
18,3.336,105.536,16.626,176.889,63.922,-113.051,63.922
19,5.008,38.687,7.299,167.754,96.014,-7.866,96.014
20,2.202,123.583,20.333,172.981,42.182,29.798,42.182
21,1.128,124.128,19.230,171.931,21.608,-34.380,21.608
22,3.323,83.744,20.339,175.577,63.692,-169.242,63.692
23,4.141,135.488,101.066,173.659,79.349,161.136,79.349
24,2.860,136.177,70.000,172.034,54.804,-12.529,54.804
25,1.531,114.095,25.829,170.063,29.296,-160.017,29.296
26,1.373,133.831,32.008,173.381,26.288,178.636,26.288
27,3.366,96.182,18.333,153.595,64.487,41.657,64.487
28,1.582,100.978,24.333,135.825,30.315,-58.935,30.315
29,2.333,108.189,10.078,157.305,44.697,136.134,44.697
30,1.433,106.683,24.000,150.171,27.446,155.772,27.446
31,1.093,112.045,31.667,142.962,20.927,-148.449,20.927
32,1.446,120.262,59.667,153.526,27.683,124.408,27.683
33,1.123,112.288,26.667,144.256,21.497,-158.663,21.497
34,1.650,99.192,14.753,143.875,31.585,-33.690,31.585
35,1.514,120.852,99.235,152.530,28.982,44.563,28.982
36,1.311,113.859,11.028,155.332,25.101,79.951,25.101
37,1.321,111.286,13.000,140.357,25.272,-15.068,25.272
38,1.808,125.781,110.577,149.684,34.642,-110.072,34.642
