...1,Area,Mean,Min,Max,Perim.
1,726.402,132.302,57,185,228.587
2,1156.879,123.387,62,236,230.768
3,1183.648,130.205,60,180,444.148
1,811.358,255,255,255,163.163
2,536.217,255,255,255,120.091
3,531.877,255,255,255,126.247
4,750.003,255,255,255,135.17
5,160.569,255,255,255,65.217
6,113.053,255,255,255,50.456
7,139.882,255,255,255,60.868
8,780.116,255,255,255,150.099
1,812.571,254.997,0,255,229.542
2,540.69,254.997,0,255,139.916
3,528.909,255,255,255,140.376
4,756.017,254.995,0,255,161.361
5,281.651,255,255,255,101.301
6,145.296,255,255,255,71.628
7,790.649,254.998,0,255,180.05
1,1110.086,130.611,42,210,305.04
1,766.772,128.475,43,242,249.804
2,923.899,134.082,59,213,208.677
3,1168.313,131.106,43,215,444.331
1,2080.924,110.49,34,240,583.01
1,743.292,127.96,51,214,155.077
2,845.15,142.357,55,221,316.955
1,1056.489,254.684,0,255,253.563
2,536.057,253.279,0,255,138.387
3,784.055,254.903,0,255,219.693
4,951.074,254.61,0,255,310.686
1,850.795,129.163,53,215,278.536
2,1938.17,120.974,51,220,438.771
3,1387.212,112.91,34,223,342.902
1,1105.244,112.205,29,229,596.368
2,1093.24,123.689,38,236,558.971
1,920.231,114.747,40,238,292.347
2,1234.589,113.108,44,200,339.453
3,1077.414,110.596,27,179,379.91
1,1288.65,116.883,40,186,454.933
1,852.572,129.822,54,228,298.967
2,757.888,124.477,42,222,294.146
3,718.335,121.921,54,215,329.658
4,629.791,113.52,43,241,215.263
