...1,Area,Mean,Min,Max,Perim.,Angle,Length
1,3.315,55.932,11.348,172.372,63.592,27.195,63.592
2,3.152,74.91,10.487,171.809,60.471,41.019,60.471
3,1.411,136.853,32.663,173.278,27.043,157.584,27.043
4,4.017,130.967,14.398,169.402,77.106,-73.034,77.106
5,2.433,124.66,45.89,174.279,46.647,109.163,46.647
6,1.015,139.27,72.667,175.989,19.428,-154.259,19.428
7,1.362,125.687,37.667,175.389,26.09,-83.811,26.09
8,0.513,118.788,59.667,141.627,9.788,16.699,9.788
9,2.11,114.478,69.667,140.136,40.459,-4.874,40.459
10,0.958,122.594,43,152.063,18.342,81.18,18.342
11,1.698,123.47,34.391,167.706,32.544,168.366,32.544
12,1.712,123.465,30,171.225,32.814,-179.454,32.814
13,0.92,119.436,32.765,147,17.614,-115.201,17.614
1,1.568,105.094,48.922,140.83,30.052,106.928,30.052
2,2.249,66.418,0,170.263,43.103,-46.469,43.103
3,1.712,131.292,25.029,172.663,32.814,-70.53,32.814
4,0.949,124.578,21,162.07,18.181,-118.768,18.181
5,1.657,135.148,108.459,170.009,31.761,76.921,31.761
6,1.191,112.996,0,170.717,22.832,-2.353,22.832
7,1.177,114.212,6.333,146.432,22.539,-16.928,22.539
8,1.077,120.623,67.333,167.355,20.601,-157.714,20.601
9,1.739,148.759,107.563,172.333,33.354,12.995,33.354
10,1.066,113.104,19.731,146.553,20.408,-168.518,20.408
11,2.58,131.267,68.6,169.644,49.474,26.241,49.474
12,2.1,140.003,71.333,177.7,40.279,-170.172,40.279
13,0.635,128.351,98.625,153.744,12.155,-133.958,12.155
14,1.289,99.083,0,161.333,24.711,-32.082,24.711
15,1.275,134.991,93.292,172.328,24.407,-177.064,24.407
16,0.92,108.921,70.714,142.862,17.6,-83.884,17.6
17,0.941,108.849,1.333,141.784,18.009,-128.66,18.009
18,0.751,114.463,6,140,14.375,180,14.375
19,0.833,107.574,10.333,142.135,15.916,133.409,15.916
20,1.115,102.57,19.687,165.875,21.333,-148.173,21.333
21,1.199,116.909,31.333,169.491,22.983,-78.232,22.983
22,1.267,119.427,60.667,169.28,24.257,-38.199,24.257
1,1.516,254.635,250,255,29.062,0,29.062
2,2.268,246.093,79,255,43.5,-37.117,43.5
3,2.561,254.635,242.971,255,49.093,158.334,49.093
4,2.596,254.63,249.774,255,49.809,-29.299,49.809
5,2.824,254.715,250.462,255,54.172,-146.768,54.172
6,1.836,213.29,84.992,255,35.191,-138.24,35.191
7,3.668,124.406,24.13,255,70.378,160.278,70.378
8,2.737,227.82,139.547,255,52.524,22.751,52.524
9,1.354,200.843,56.745,255,25.939,-21.93,25.939
10,1.752,247.25,199.379,255,33.588,-135,33.588
11,2.07,254.527,243.646,255,39.699,1.353,39.699
12,2.393,249.416,187.097,255,45.865,-174.134,45.865
13,2.46,243.421,85,255,47.188,180,47.188
14,1.712,252.191,181,255,32.789,157.59,32.789
15,2.932,213.031,91.733,255,56.243,14.808,56.243
16,2.965,246.876,166.775,255,56.876,89.685,56.876
17,1.147,251.574,215,255,21.966,-50.194,21.966
18,0.819,251.8,136,255,15.675,-4.574,15.675
19,1.264,241.208,113,255,24.208,-78.835,24.208
20,6.277,226.219,84.444,255,120.491,74.197,120.491
21,1.194,254.646,251.026,255,22.864,68.344,22.864
22,1.495,250.406,227.63,255,28.658,62.038,28.658
23,1.891,252.416,229.052,255,36.224,79.563,36.224
24,1.449,253.447,232.133,255,27.755,54.162,27.755
25,1.959,254.421,241.775,255,37.565,-70.058,37.565
26,2.173,248.652,203.576,255,41.658,86.129,41.658
27,1.275,251.865,120.802,255,24.409,-18.667,24.409
28,1.036,252.778,224.449,255,19.846,172.763,19.846
1,1.24,117.898,51.851,168.553,23.727,-77.062,23.727
2,1.291,117.003,66,167.458,24.751,-37.304,24.751
3,1.177,110.911,10,166.147,22.563,-143.448,22.563
4,1.571,100.763,0,163.294,30.081,124.846,30.081
5,1.055,106.444,15,143.262,20.197,-81.995,20.197
6,0.817,104.187,4.693,139.933,15.628,-168.465,15.628
7,0.741,112.152,16.667,147.705,14.142,135,14.142
8,1.245,112.456,2,162.677,23.851,-158.477,23.851
9,1.736,127.795,6,167.328,33.291,80.272,33.291
10,1.066,121.148,59,150.738,20.43,-6.147,20.43
11,1.069,110.737,14,142.75,20.456,-18.712,20.456
12,1.508,103.43,24.667,140.726,28.889,105.69,28.889
13,1.758,145.152,111.667,171.529,33.682,-62.959,33.682
14,0.996,124.181,36.587,164.468,19.039,-113.199,19.039
15,1.128,114.268,30.333,150.684,21.601,-165.763,21.601
16,1.725,138.336,74.055,173.093,33.05,13.116,33.05
17,2.116,139.674,75.667,177.711,40.587,-170.248,40.587
18,2.588,131.765,66.759,172.762,49.618,25.758,49.618
19,1.549,137.385,110.046,171.939,29.699,-171.529,29.699
20,1.31,99.561,0,160.015,25.088,-39.44,25.088
21,1.061,140.176,121.32,171,20.312,143.13,20.312
1,3.063,124.766,18.667,177.793,58.763,51.911,58.763
2,1.912,125.043,36.517,181.629,36.671,-147.529,36.671
3,1.972,130.852,12,177.964,37.802,-133.325,37.802
4,1.367,118.388,46.123,155.729,26.175,123.311,26.175
5,0.998,122.458,65.696,151.048,19.103,-164.827,19.103
1,1.541,138.584,81.815,174.217,29.509,-114.394,29.509
2,1.668,133.304,53.667,169.483,31.999,95.042,31.999
3,1.59,101.883,12.101,163.829,30.473,84.114,30.473
4,0.947,115.974,66.632,145.379,18.149,-177.039,18.149
5,1.156,126.98,29.785,170.271,22.126,53.616,22.126
6,1.937,102.783,27.758,168.44,37.128,-36.098,37.128
7,3.684,116.648,24,172.768,70.7,106.432,70.7
8,1.234,110.536,79.418,150.457,23.653,-136.606,23.653
9,1.5,101.46,17.333,169.667,28.757,-42.357,28.757
10,1.44,102.728,58.261,156.884,27.587,4.548,27.587
11,2.878,94.007,0,142.907,55.221,-28.015,55.221
12,6.54,135.188,31.333,174.575,125.513,163.957,125.513
13,1.028,139.246,51,179.06,19.707,75.303,19.707
14,1.109,130.045,23.985,173.608,21.271,-2.526,21.271
15,0.906,95.708,13.865,150.529,17.366,-59.744,17.366
16,0.844,120.537,22.39,149.975,16.144,14.574,16.144
17,0.83,126.486,16.12,161.577,15.876,126.193,15.876
18,1.289,142.394,117.048,170.983,24.664,-112.341,24.664
19,0.754,130.968,110.666,164.879,14.406,-155.659,14.406
20,1.072,145.794,111.797,171.616,20.542,56.793,20.542
1,4.905,62.794,3.161,155.251,94.091,19.398,94.091
2,2.688,117.087,76.779,146.399,51.539,157.166,51.539
3,1.503,96.002,12,130.485,28.806,-118.511,28.806
4,1.487,94.92,16.392,132.002,28.513,-99.462,28.513
5,2.626,97.689,13.186,157.652,50.389,66.615,50.389
6,1.326,112.838,69.279,139.624,25.441,117.824,25.441
7,2.151,100.29,20.611,138.739,41.274,-147.995,41.274
8,2.292,99.348,9,155.457,43.955,-60.154,43.955
9,2.509,114.855,81.901,136.551,48.134,162.624,48.134
10,1.104,130.141,71,172.845,21.149,34.16,21.149
11,1.042,139.545,30.667,178.118,19.944,125.433,19.944
12,1.177,131.227,107.24,172.612,22.578,-131.634,22.578
13,2.249,132.023,26,171.667,43.13,0.83,43.13
14,3.461,102.008,39.603,173.989,66.41,161.053,66.41
15,0.8,128.542,106.333,141.224,15.287,130.855,15.287
16,0.73,124.247,43,137.333,13.975,26.565,13.975
17,1.408,137.221,93.333,167.12,26.986,-118.346,26.986
18,2.157,97.183,21.168,175.058,41.379,-36.091,41.379
19,1.666,135.256,43.667,169.41,31.932,168.14,31.932
20,2.241,121.385,0,162.388,42.949,-29.176,42.949
1,1.622,126.588,55.667,173.511,31.087,30.174,31.087
2,1.679,100.74,18.333,135.748,32.212,104.036,32.212
3,3.453,102.008,17.425,146.687,66.24,-110.145,66.24
4,1.421,86.986,11.667,140.508,27.216,124.237,27.216
5,1.408,89.723,6,141.652,26.991,132.184,26.991
