...1,Area,Mean,Min,Max,Perim.
1,1420.6705729166667,112.401,20,151,327.68750000000006
2,66.58257378472223,119.004,75,152,31.458177083333332
3,913.0995008680555,114.264,41,166,176.16510416666668
4,561.3688151041667,115.414,75,154,118.43651041666668
5,669.5638020833334,115.2,58,151,123.01156250000001
6,929.736328125,130.051,75,177,136.06234375
1,919.075,1.133,0,255,235.369
2,680.916,0.045,0,255,159.932
3,789.812,0.48,0,255,163.655
1,1163.148,135.329,71,193,312.103
2,112.519,117.739,71,183,67.468
1,390.169,152.567,66,184,100.955
2,1544.255,128.279,40,241,455.84
1,756.66,129.727,63,185,154.715
2,1031.052,134.081,36,216,214.23
