...1,Area,Mean,Min,Max,Perim.,Angle,Length
1,2.083,210.532,93.353,231,39.881,109.714,39.881
2,0.952,212.434,48.615,231,18.205,19.058,18.205
3,2.191,221.941,0,231,41.966,-69.944,41.966
4,3.483,202.586,0,231,66.745,154.156,66.745
5,2.632,125.823,0,231,50.433,140.285,50.433
6,0.992,221.956,0,231,19,-107.241,19
7,0.971,228.432,84,231,18.586,143.902,18.586
8,0.769,230.415,171,231,14.691,116.565,14.691
9,0.788,230.292,167,231,15.047,3.576,15.047
10,1.142,226.356,52,231,21.867,-160.787,21.867
11,1.281,230.881,205,231,24.495,28.202,24.495
12,1.43,230.002,133,231,27.362,51.033,27.362
13,0.718,225.93,110,231,13.716,-45,13.716
14,1.058,223.636,36,231,20.223,-124.919,20.223
15,0.96,230.307,184,231,18.363,-171.18,18.363
16,2.254,230.689,182,231,43.176,53.545,43.176
17,1.126,224.393,61,231,21.531,125.538,21.531
18,0.837,225.036,102,231,15.99,149.421,15.99
19,1.4,227.628,2.547e-10,231,26.813,109.069,26.813
20,1.134,223.239,0,231,21.698,47.337,21.698
21,1.18,194.809,5.093e-10,231,22.582,-169.624,22.582
22,1.389,215.286,0,231,26.61,-92.021,26.61
1,2.689,117.688,40,149.167,51.505,-37.844,51.505
2,4.19,112.492,36.333,148.091,80.276,145.319,80.276
3,1.819,118.46,58.667,149.061,34.818,139.008,34.818
4,1.411,120.36,92.793,157.272,27.004,-10.008,27.004
5,1.156,113.517,42.333,148.178,22.127,-43.854,22.127
6,3.796,68.125,3.773,148.046,72.73,9.908,72.73
7,1.161,114.359,49,134.373,22.193,68.499,22.193
8,1.816,101.439,61.01,151.362,34.794,-127.694,34.794
9,2.121,89.866,0,124.416,40.63,-60.474,40.63
1,1.213,101.808,42.667,147.107,23.172,99.335,23.172
2,0.948,89.14,1.023e-11,140.667,18.105,-30.114,18.105
3,1.583,87.031,8.064e-11,142.811,30.304,-119.745,30.304
4,1.649,93.048,1.333,148.667,31.543,122.428,31.543
5,0.902,75.783,1.667,119.933,17.239,-2.083,17.239
6,1.45,96.329,26.667,143.789,27.708,-100.421,27.708
7,2.344,69.386,0,127.647,44.847,65.225,44.847
8,1.221,75.541,40.539,116.394,23.341,-40.101,23.341
9,1.668,94.055,68.333,143.727,31.906,-133.409,31.906
10,1.273,93.806,62.476,132.611,24.321,97.4,24.321
11,0.981,75.915,8.459,131.177,18.723,107.526,18.723
1,1.566,144.209,51.667,182.774,29.963,61.294,29.963
2,1.343,136.006,109.397,176.333,25.685,87.207,25.685
3,0.963,134.58,64.333,176.331,18.414,99.782,18.414
4,4.755,61.459,7.195,180.21,91.163,-136.112,91.163
5,1.262,110.759,22.971,170.737,24.123,-87.026,24.123
6,3.396,145.092,75.795,173.564,65.082,55.775,65.082
7,2.265,131.56,28.333,167.648,43.388,-56.768,43.388
8,1.748,131.889,62,170.356,33.451,-172.476,33.451
9,3.467,74.977,5.742,175.751,66.429,-31.519,66.429
10,3.154,90.708,18.14,174.333,60.446,-117.096,60.446
11,2.398,138.166,113.438,175.763,45.958,-111.15,45.958
1,2.722,118.24,39.176,165.893,52.132,13.536,52.132
2,2.382,63.348,11.347,172.54,45.649,34.67,45.649
3,0.908,132.01,93,167.952,17.377,-76.464,17.377
4,4.962,41.232,5.125,171.053,95.094,175.471,95.094
5,0.677,167.91,109.667,180.654,12.934,-122.152,12.934
6,0.479,176.033,167,179.667,9.138,141.953,9.138
7,0.753,161.517,126.333,177.799,14.395,47.643,14.395
8,0.435,151.447,87.667,173.481,8.266,-29.476,8.266
9,1.55,87.664,20.345,135.004,29.689,82.126,29.689
10,1.504,111.318,83.921,139.297,28.759,98.13,28.759
11,6.349,53.026,14.404,160.913,121.704,179.853,121.704
12,2.346,130.852,20.667,175.619,44.956,-34.796,44.956
13,1.816,113.293,53,154.346,34.777,-8.276,34.777
14,3.972,127.23,63.411,161.61,76.116,16.722,76.116
15,2.148,133.122,103.697,166.743,41.138,27.15,41.138
16,4.886,66.032,15.13,153.567,93.669,159.265,93.669
17,2.295,130.28,89.901,164.171,43.943,-109.983,43.943
18,3.921,69.719,10.667,172.87,75.134,102.995,75.134
19,1.101,143.054,65,172.055,21.092,147.724,21.092
20,0.914,144.191,102.667,170.667,17.49,-169.695,17.49
21,4.138,108.695,15,167.803,79.303,67.989,79.303
22,2.355,89.747,20.271,167.383,45.13,73.072,45.13
23,2.531,92.074,25.667,174.591,48.472,129.237,48.472
24,1.822,142.735,119.978,167.604,34.873,-99.293,34.873
25,1.376,119.134,61,142.755,26.31,-64.654,26.31
26,1.082,93.292,32.947,143.929,20.718,-51.746,20.718
1,1.443,137.269,50.135,175.92,27.643,84.161,27.643
2,0.686,127.119,82.333,166.508,13.118,-12.381,13.118
3,0.979,124.253,45.667,163.467,18.753,-66.425,18.753
4,1.207,120.059,74.618,171.705,23.102,-113.097,23.102
5,0.589,137.48,110.222,167.88,11.254,-178.409,11.254
6,1.66,139.554,74.595,182.326,31.826,19.502,31.826
7,0.941,144.699,57.966,177.014,18.009,51.34,18.009
8,0.925,122.341,40.917,172.172,17.691,-35.655,17.691
9,2.135,128.913,47.099,180.483,40.939,179.563,40.939
