Well_ID,Name,Well,Read_490,Read_680,Blank_Read_490,Blank_Read_680,Count,Mean,Std Dev,CV (%)
BLK,Media,B2,0.098,0.039,-0.037,-0.002,6,0,0.034,-2.45066E+17
BLK,Meida,C2,0.096,0.037,-0.039,-0.004,,,,
BLK,Media,D2,0.144,0.038,0.009,-0.003,,,,
BLK,Media,F2,0.178,0.039,0.043,-0.002,,,,
BLK,Media,G2,0.165,0.039,0.03,-0.002,,,,
BLK,Media,H2,0.127,0.053,-0.008,0.012,,,,
CTL2,Positive,B11,0.886,0.067,0.751,0.026,3,0.793,0.214,26.932
CTL2,Positive,C11,1.159,0.073,1.024,0.032,,,,
CTL2,Positive,D11,0.738,0.063,0.603,0.022,,,,
SPL1,BF Media,B3,0.114,0.038,-0.021,-0.003,3,0.015,0.031,206.595
SPL1,BF Media,C3,0.17,0.038,0.035,-0.003,,,,
SPL1,BF Media,D3,0.165,0.038,0.03,-0.003,,,,
SPL2,Control 1,B5,0.202,0.038,0.067,-0.003,3,0.059,0.009,14.415
SPL2,Control 1,C5,0.185,0.04,0.05,-0.001,,,,
SPL2,Control 1,D5,0.194,0.039,0.059,-0.002,,,,
SPL3,Control 2,B6,0.195,0.038,0.06,-0.003,3,0.029,0.044,153.739
SPL3,Control 2,C6,0.182,0.041,0.047,0,,,,
SPL3,Control 2,D6,0.113,0.042,-0.022,0.001,,,,
SPL4,BF 1,B8,0.222,0.04,0.087,-0.001,3,0.082,0.01,12.681
SPL4,BF 1,C8,0.205,0.04,0.07,-0.001,,,,
SPL4,BF 1,D8,0.224,0.04,0.089,-0.001,,,,
SPL5,BF 2,B9,0.102,0.037,-0.033,-0.004,3,0.044,0.067,151.513
SPL5,BF 2,C9,0.211,0.039,0.076,-0.002,,,,
SPL5,BF 2,D9,0.223,0.042,0.088,0.001,,,,
SPL6,BF Media,F3,0.16,0.044,0.025,0.003,3,0.018,0.034,185.695
SPL6,BF Media,G3,0.183,0.038,0.048,-0.003,,,,
SPL6,BF Media,H3,0.116,0.039,-0.019,-0.002,,,,
SPL7,Control 1,F5,0.193,0.041,0.058,0,3,0.042,0.054,129.518
SPL7,Control 1,G5,0.22,0.039,0.085,-0.002,,,,
SPL7,Control 1,H5,0.116,0.039,-0.019,-0.002,,,,
SPL8,Control 2,F6,0.196,0.039,0.061,-0.002,3,0.044,0.058,131.699
SPL8,Control 2,G6,0.227,0.039,0.092,-0.002,,,,
SPL8,Control 2,H6,0.114,0.039,-0.021,-0.002,,,,
SPL9,BF 1,F8,0.22,0.04,0.085,-0.001,3,0.017,0.06,346.73
SPL9,BF 1,G8,0.13,0.038,-0.005,-0.003,,,,
SPL9,BF 1,H8,0.106,0.039,-0.029,-0.002,,,,
SPL10,BF 2,F9,0.123,0.038,-0.012,-0.003,3,-0.027,0.013,-48.75
SPL10,BF 2,G9,0.1,0.038,-0.035,-0.003,,,,
SPL10,BF 2,H9,0.101,0.039,-0.034,-0.002,,,,
SPLC1,Water,B1,0.043,0.038,-0.092,-0.003,3,-0.093,0.002,-1.637
SPLC1,Water,C1,0.04,0.038,-0.095,-0.003,,,,
SPLC1,Water,D1,0.041,0.039,-0.094,-0.002,,,,
SPLC2,Water,F1,0.041,0.037,-0.094,-0.004,3,-0.095,0.002,-1.83
SPLC2,Water,G1,0.038,0.037,-0.097,-0.004,,,,
SPLC2,Water,H1,0.041,0.038,-0.094,-0.003,,,,
