Well_ID,Name,Well,Read_490,Blank_Read_490,Read_680,Blank_Read_680
BLK,Media,B2,0.304,0.002,0.042,-0.001
BLK,Meida,C2,0.332,0.03,0.039,-0.004
BLK,Media,D2,0.355,0.053,0.042,-0.001
BLK,Media,F2,0.216,-0.086,0.042,-0.001
BLK,Media,G2,0.3,-0.002,0.041,-0.002
BLK,Media,H2,0.307,0.005,0.049,0.006
CTL2,Positive,B11,0.282,-0.02,0.06,0.017
CTL2,Positive,C11,0.986,0.684,0.073,0.03
CTL2,Positive,D11,0.977,0.675,0.073,0.03
SPL1,BF Media,B3,0.245,-0.057,0.039,-0.004
SPL1,BF Media,C3,0.247,-0.055,0.038,-0.005
SPL1,BF Media,D3,0.259,-0.043,0.039,-0.004
SPL2,Control 1,B5,0.402,0.1,0.04,-0.003
SPL2,Control 1,C5,0.404,0.102,0.042,-0.001
SPL2,Control 1,D5,0.413,0.111,0.041,-0.002
SPL3,Control 2,B6,0.438,0.136,0.04,-0.003
SPL3,Control 2,C6,0.457,0.155,0.044,0.001
SPL3,Control 2,D6,0.485,0.183,0.043,0.001
SPL4,BF 1,B8,0.514,0.212,0.044,0.001
SPL4,BF 1,C8,0.55,0.248,0.043,0.001
SPL4,BF 1,D8,0.597,0.295,0.044,0.001
SPL5,BF 2,B9,0.554,0.252,0.046,0.003
SPL5,BF 2,C9,0.522,0.22,0.042,-0.001
SPL5,BF 2,D9,0.549,0.247,0.042,-0.001
SPL6,BF Media,F3,0.244,-0.058,0.04,-0.003
SPL6,BF Media,G3,0.262,-0.04,0.039,-0.004
SPL6,BF Media,H3,0.234,-0.068,0.043,0.001
SPL7,Control 1,F5,0.425,0.123,0.043,0.001
SPL7,Control 1,G5,0.481,0.179,0.042,-0.001
SPL7,Control 1,H5,0.494,0.192,0.046,0.003
SPL8,Control 2,F6,0.504,0.202,0.045,0.002
SPL8,Control 2,G6,0.479,0.177,0.044,0.001
SPL8,Control 2,H6,0.616,0.314,0.048,0.005
SPL9,BF 1,F8,0.469,0.167,0.044,0.001
SPL9,BF 1,G8,0.699,0.397,0.045,0.002
SPL9,BF 1,H8,0.713,0.411,0.048,0.005
SPL10,BF 2,F9,0.519,0.217,0.042,-0.001
SPL10,BF 2,G9,0.595,0.293,0.043,0.001
SPL10,BF 2,H9,0.557,0.255,0.048,0.005
SPLC1,Water,B1,0.041,-0.261,0.039,-0.004
SPLC1,Water,C1,0.041,-0.261,0.04,-0.003
SPLC1,Water,D1,0.042,-0.26,0.038,-0.005
SPLC2,Water,F1,0.055,-0.247,0.042,-0.001
SPLC2,Water,G1,0.046,-0.256,0.04,-0.003
SPLC2,Water,H1,0.044,-0.258,0.038,-0.005
