Date,Condition,Plate,Count,Cells
11/9/2022,Control,1,1,272
11/9/2022,Control,1,2,136
11/9/2022,Control,1,3,373
11/9/2022,Control,1,4,260
11/9/2022,Control,1,5,76
11/9/2022,Control,1,6,73
11/9/2022,Control,1,7,214
11/9/2022,Control,1,8,163
11/9/2022,B-Field,2,1,392
11/9/2022,B-Field,2,2,195
11/9/2022,B-Field,2,3,108
11/9/2022,B-Field,2,4,71
11/9/2022,B-Field,2,5,87
11/9/2022,B-Field,2,6,92
11/9/2022,B-Field,2,7,325
11/9/2022,B-Field,2,8,225
11/9/2022,B-Field,3,1,383
11/9/2022,B-Field,3,2,95
11/9/2022,B-Field,3,3,229
11/9/2022,B-Field,3,4,191
11/9/2022,B-Field,3,5,96
11/9/2022,B-Field,3,6,159
11/9/2022,B-Field,3,7,109
11/9/2022,B-Field,3,8,319
11/10/2022,Control,1,1,79
11/10/2022,Control,1,2,81
11/10/2022,Control,1,3,50
11/10/2022,Control,1,4,58
11/10/2022,Control,1,5,113
11/10/2022,Control,1,6,112
11/10/2022,Control,1,7,87
11/10/2022,Control,1,8,105
11/10/2022,B-Field,2,1,122
11/10/2022,B-Field,2,2,260
11/10/2022,B-Field,2,3,292
11/10/2022,B-Field,2,4,138
11/10/2022,B-Field,2,5,133
11/10/2022,B-Field,2,6,190
11/10/2022,B-Field,2,7,194
11/10/2022,B-Field,2,8,119
11/10/2022,B-Field,3,1,190
11/10/2022,B-Field,3,2,210
11/10/2022,B-Field,3,3,135
11/10/2022,B-Field,3,4,117
11/10/2022,B-Field,3,5,92
11/10/2022,B-Field,3,6,76
11/10/2022,B-Field,3,7,149
11/10/2022,B-Field,3,8,142
