Date,Plate,Condition,Count_Trial,Cell_Count,Trial_Day
11-Feb,C,Control,1,254,Day 1
11-Feb,C,Control,2,163,Day 1
11-Feb,C,Control,3,166,Day 1
11-Feb,C,Control,4,249,Day 1
11-Feb,C,Control,5,316,Day 1
11-Feb,C,Control,6,133,Day 1
11-Feb,C,Control,7,275,Day 1
11-Feb,C,Control,8,198,Day 1
11-Feb,C,Control,9,231,Day 1
11-Feb,C,Control,10,434,Day 1
11-Feb,C,Control,11,359,Day 1
11-Feb,C,Control,12,230,Day 1
11-Feb,A,B-Field,1,201,Day 1
11-Feb,A,B-Field,2,177,Day 1
11-Feb,A,B-Field,3,253,Day 1
11-Feb,A,B-Field,4,165,Day 1
11-Feb,A,B-Field,5,223,Day 1
11-Feb,A,B-Field,6,152,Day 1
11-Feb,A,B-Field,7,179,Day 1
11-Feb,A,B-Field,8,150,Day 1
11-Feb,A,B-Field,9,257,Day 1
11-Feb,A,B-Field,10,170,Day 1
11-Feb,A,B-Field,11,283,Day 1
11-Feb,A,B-Field,12,212,Day 1
11-Feb,B,B-Field,1,184,Day 1
11-Feb,B,B-Field,2,200,Day 1
11-Feb,B,B-Field,3,230,Day 1
11-Feb,B,B-Field,4,178,Day 1
11-Feb,B,B-Field,5,254,Day 1
11-Feb,B,B-Field,6,187,Day 1
11-Feb,B,B-Field,7,174,Day 1
11-Feb,B,B-Field,8,198,Day 1
11-Feb,B,B-Field,9,161,Day 1
11-Feb,B,B-Field,10,141,Day 1
11-Feb,B,B-Field,11,218,Day 1
11-Feb,B,B-Field,12,149,Day 1
12-Feb,C,Control,1,460,Day 2
12-Feb,C,Control,2,600,Day 2
12-Feb,C,Control,3,517,Day 2
12-Feb,C,Control,4,0,Day 2
12-Feb,C,Control,5,185,Day 2
12-Feb,C,Control,6,163,Day 2
12-Feb,C,Control,7,180,Day 2
12-Feb,C,Control,8,335,Day 2
12-Feb,C,Control,9,430,Day 2
12-Feb,C,Control,10,477,Day 2
12-Feb,C,Control,11,183,Day 2
12-Feb,C,Control,12,446,Day 2
12-Feb,A,B-Field,1,359,Day 2
12-Feb,A,B-Field,2,286,Day 2
12-Feb,A,B-Field,3,348,Day 2
12-Feb,A,B-Field,4,340,Day 2
12-Feb,A,B-Field,5,355,Day 2
12-Feb,A,B-Field,6,240,Day 2
12-Feb,A,B-Field,7,387,Day 2
12-Feb,A,B-Field,8,667,Day 2
12-Feb,A,B-Field,9,403,Day 2
12-Feb,A,B-Field,10,237,Day 2
12-Feb,A,B-Field,11,397,Day 2
12-Feb,A,B-Field,12,183,Day 2
12-Feb,B,B-Field,1,577,Day 2
12-Feb,B,B-Field,2,273,Day 2
12-Feb,B,B-Field,3,404,Day 2
12-Feb,B,B-Field,4,192,Day 2
12-Feb,B,B-Field,5,567,Day 2
12-Feb,B,B-Field,6,185,Day 2
12-Feb,B,B-Field,7,271,Day 2
12-Feb,B,B-Field,8,438,Day 2
12-Feb,B,B-Field,9,252,Day 2
12-Feb,B,B-Field,10,148,Day 2
12-Feb,B,B-Field,11,276,Day 2
12-Feb,B,B-Field,12,173,Day 2
13-Feb,C,Control,1,635,Day 3
13-Feb,C,Control,2,433,Day 3
13-Feb,C,Control,3,101,Day 3
13-Feb,C,Control,4,156,Day 3
13-Feb,C,Control,5,705,Day 3
13-Feb,C,Control,6,98,Day 3
13-Feb,C,Control,7,160,Day 3
13-Feb,C,Control,8,235,Day 3
13-Feb,C,Control,9,531,Day 3
13-Feb,C,Control,10,606,Day 3
13-Feb,C,Control,11,67,Day 3
13-Feb,C,Control,12,179,Day 3
13-Feb,A,B-Field,1,184,Day 3
13-Feb,A,B-Field,2,435,Day 3
13-Feb,A,B-Field,3,645,Day 3
13-Feb,A,B-Field,4,266,Day 3
13-Feb,A,B-Field,5,251,Day 3
