Time_sec,T1,T2,T3,T4,T5,Avg,Type,,,,,,,
0,36,36,36,36,35,35.8,control,,,,,,,
3,37,36,37,36,36,36.4,control,,,,,,,
6,36,35,37,34,36,35.6,control,,,,,,,
9,35,36,36,34,37,35.6,control,,,,,,,
12,37,37,36,35,37,36.4,control,,,,,,,
15,37,38,37,35,37,36.8,control,,,,,,,
18,37,38,37,35,38,37,control,,,,,,,
21,37,38,37,36,38,37.2,control,,,,,,,
24,37,38,36,36,38,37,control,,,,,,,
27,37,38,37,36,37,37,control,,,,,,,
30,37,37,35,36,36,36.2,control,,,,,,,
33,37,37,36,36,37,36.6,control,,,,,,,
36,35,36,35,36,36,35.6,control,,,,,,,
39,36,36,36,36,35,35.8,control,,,,,,,
42,37,36,35,36,36,36,control,,,,,,,
45,37,36,35,36,34,35.6,control,,,,,,,
48,37,36,37,36,35,36.2,control,,,,,,,
51,37,35,37,37,37,36.6,control,,,,,,,
54,38,36,36,37,37,36.8,control,,,,,,,
57,36,37,36,37,36,36.4,control,,,,,,,
60,36,37,36,34,35,35.6,control,,,,,,,
63,37,37,35,35,36,36,control,,,,,,,
66,37,36,36,34,35,35.6,control,,,,,,,
69,36,37,37,35,35,36,control,,,,,,,
72,35,35,38,36,36,36,control,,,,,,,
75,37,36,37,36,34,36,control,,,,,,,
78,37,35,36,36,36,36,control,,,,,,,
81,37,36,37,36,37,36.6,control,,,,,,,
84,35,37,38,37,37,36.8,control,,,,,,,
87,36,37,38,37,38,37.2,control,,,,,,,
90,35,37,36,37,37,36.4,control,,,,,,,
0,35,37,38,37,36,36.6,mag,,,,,,,
3,36,37,37,38,37,37,mag,,,,,,,
6,37,37,38,39,38,37.8,mag,,,,,,,
9,35,36,37,39,36,36.6,mag,,,,,,,
12,37,38,38,39,38,38,mag,,,,,,,
15,36,36,36,38,39,37,mag,,,,,,,
18,37,37,37,36,37,36.8,mag,,,,,,,
21,36,38,37,39,38,37.6,mag,,,,,,,
24,36,38,36,37,36,36.6,mag,,,,,,,
27,36,38,35,36,38,36.6,mag,,,,,,,
30,37,37,38,38,36,37.2,mag,,,,,,,
33,36,38,36,39,38,37.4,mag,,,,,,,
36,37,37,37,38,37,37.2,mag,,,,,,,
39,38,37,36,39,36,37.2,mag,,,,,,,
42,36,37,35,38,38,36.8,mag,,,,,,,
45,37,36,37,40,39,37.8,mag,,,,,,,
48,36,38,38,38,37,37.4,mag,,,,,,,
51,37,37,36,37,38,37,mag,,,,,,,
54,38,37,37,39,37,37.6,mag,,,,,,,
57,38,37,36,37,38,37.2,mag,,,,,,,
60,37,37,38,36,36,36.8,mag,,,,,,,
63,37,38,39,38,38,38,mag,,,,,,,
66,38,36,37,37,36,36.8,mag,,,,,,,
69,36,38,36,38,38,37.2,mag,,,,,,,
72,37,39,35,38,36,37,mag,,,,,,,
75,38,38,36,39,38,37.8,mag,,,,,,,
78,37,37,37,38,36,37,mag,,,,,,,
81,38,38,36,39,38,37.8,mag,,,,,,,
84,37,36,37,36,37,36.6,mag,,,,,,,
87,37,35,36,38,37,36.6,mag,,,,,,,
90,37,37,37,39,36,37.2,mag,,,,,,,
