Time_sec,T1,T2,T3,T4,T5,T6,T7,T8,Type
0,33,33,34,34,33,33,34,34,Control
3,33,34,33,33,33,33,34,34,Control
6,34,34,33,33,33,33,33,35,Control
9,34,35,34,34,32,32,34,34,Control
12,34,34,34,34,32,33,35,33,Control
15,34,33,35,34,33,34,34,34,Control
18,34,33,35,34,34,34,33,35,Control
21,34,34,35,34,34,34,34,34,Control
24,33,33,35,34,34,35,34,35,Control
27,33,33,34,35,34,35,34,34,Control
30,34,34,35,34,34,35,33,34,Control
33,34,33,35,33,34,34,34,35,Control
36,33,32,34,34,35,33,35,35,Control
39,33,33,34,34,34,34,34,34,Control
42,34,34,35,35,35,33,33,34,Control
45,34,33,34,33,35,33,34,35,Control
48,34,32,33,33,35,34,35,35,Control
51,34,33,34,34,35,34,35,34,Control
54,35,33,35,33,34,33,35,34,Control
57,35,33,33,34,33,33,36,35,Control
60,35,32,34,34,34,34,36,35,Control
63,35,33,35,34,34,34,36,34,Control
66,35,34,34,34,34,33,36,35,Control
69,34,35,33,35,35,34,36,35,Control
72,33,35,34,33,34,34,35,34,Control
75,33,34,35,33,33,35,35,35,Control
78,32,34,35,34,34,33,34,35,Control
81,33,33,34,33,34,34,34,35,Control
84,32,34,34,33,33,34,35,34,Control
87,32,33,33,32,33,35,35,35,Control
90,33,34,34,34,34,33,34,34,Control
0,35,35,35,34,35,34,34,35,B-Field
3,35,34,35,35,34,34,35,34,B-Field
6,35,35,34,35,35,34,35,36,B-Field
9,34,34,35,34,35,34,34,35,B-Field
12,33,34,34,34,36,34,34,34,B-Field
15,34,34,34,35,35,34,35,36,B-Field
18,33,35,35,36,34,35,35,36,B-Field
21,33,34,35,34,35,35,34,35,B-Field
24,34,34,34,35,35,34,34,35,B-Field
27,33,34,34,34,35,34,35,36,B-Field
30,33,35,35,34,34,34,35,36,B-Field
33,34,34,35,35,35,35,34,35,B-Field
36,34,33,34,34,35,53,34,35,B-Field
39,34,34,34,34,35,34,35,36,B-Field
42,35,34,35,35,34,34,35,34,B-Field
45,34,34,35,35,35,34,35,35,B-Field
48,33,33,34,34,35,35,35,36,B-Field
51,34,34,35,35,35,35,34,35,B-Field
54,33,34,35,35,34,34,35,34,B-Field
57,33,35,34,35,35,34,36,33,B-Field
60,33,35,34,34,35,35,35,34,B-Field
63,34,36,35,35,35,35,35,34,B-Field
66,34,36,34,36,34,34,36,34,B-Field
69,33,36,34,35,35,34,35,35,B-Field
72,34,34,35,35,35,35,35,34,B-Field
75,34,35,35,36,36,35,35,36,B-Field
78,34,35,34,35,35,34,36,36,B-Field
81,34,35,35,34,34,35,36,35,B-Field
84,33,34,36,35,35,34,36,35,B-Field
87,34,35,35,36,35,35,37,36,B-Field
90,33,35,35,35,36,35,36,36,B-Field
