Distance,B_Field,Arduino,Magnitude_uT,Test
-12,Off,Off,41.32,A
-10,Off,Off,47.32,A
-8,Off,Off,42.54,A
-6,Off,Off,41.68,A
-4,Off,Off,41.73,A
-2,Off,Off,41.82,A
0,Off,Off,42.03,A
2,Off,Off,43.26,A
4,Off,Off,42.98,A
6,Off,Off,43.55,A
8,Off,Off,42.41,A
10,Off,Off,43.1,A
12,Off,Off,42.68,A
-12,Off,Off,40.28,A
-10,Off,Off,38.67,A
-8,Off,Off,40.26,A
-6,Off,Off,42.24,A
-4,Off,Off,42.09,A
-2,Off,Off,42.38,A
0,Off,Off,42.56,A
2,Off,Off,42.78,A
4,Off,Off,43.64,A
6,Off,Off,43.03,A
8,Off,Off,43.14,A
10,Off,Off,41.68,A
12,Off,Off,42.88,A
-12,Off,Off,40.48,A
-10,Off,Off,42.05,A
-8,Off,Off,42.96,A
-6,Off,Off,42.34,A
-4,Off,Off,42.68,A
-2,Off,Off,43.2,A
0,Off,Off,42.34,A
2,Off,Off,43.56,A
4,Off,Off,42.78,A
6,Off,Off,42.12,A
8,Off,Off,42.38,A
10,Off,Off,42.04,A
12,Off,Off,42.58,A
-12,Off,On,48.24,B
-10,Off,On,47.53,B
-8,Off,On,42.03,B
-6,Off,On,52.38,B
-4,Off,On,48.73,B
-2,Off,On,48.28,B
0,Off,On,48.23,B
2,Off,On,47.03,B
4,Off,On,47.68,B
6,Off,On,47.73,B
8,Off,On,47.01,B
10,Off,On,47.3,B
12,Off,On,47.68,B
-12,Off,On,48.08,B
-10,Off,On,48.23,B
-8,Off,On,46.56,B
-6,Off,On,51.03,B
-4,Off,On,49.98,B
-2,Off,On,49.35,B
0,Off,On,48.07,B
2,Off,On,48.53,B
4,Off,On,47.98,B
6,Off,On,47.56,B
8,Off,On,47.63,B
10,Off,On,47.54,B
12,Off,On,47.73,B
-12,Off,On,48.23,B
-10,Off,On,47.64,B
-8,Off,On,47.53,B
-6,Off,On,51.12,B
-4,Off,On,51.63,B
-2,Off,On,49.89,B
0,Off,On,48.27,B
2,Off,On,48.24,B
4,Off,On,47.74,B
6,Off,On,48.38,B
8,Off,On,48.34,B
10,Off,On,47.88,B
12,Off,On,47.13,B
-12,On,Off,984.73,C
-10,On,Off,1001.94,C
-8,On,Off,1006.53,C
-6,On,Off,1023.49,C
-4,On,Off,1030.28,C
-2,On,Off,1028.57,C
0,On,Off,1025.62,C
2,On,Off,1013.24,C
4,On,Off,1020.43,C
6,On,Off,1008.92,C
8,On,Off,986.59,C
10,On,Off,928.32,C
12,On,Off,926.32,C
-12,On,Off,913.87,C
-10,On,Off,993.42,C
-8,On,Off,1010.06,C
-6,On,Off,1013.04,C
-4,On,Off,1020.63,C
-2,On,Off,1023.98,C
0,On,Off,1020.04,C
2,On,Off,1015.47,C
4,On,Off,1009.26,C
6,On,Off,1005.13,C
8,On,Off,995.53,C
10,On,Off,914.24,C
12,On,Off,902.83,C
-12,On,Off,990.12,C
-10,On,Off,1003.68,C
-8,On,Off,1005.04,C
-6,On,Off,1019.23,C
-4,On,Off,1023.54,C
-2,On,Off,1024.67,C
0,On,Off,1025.73,C
2,On,Off,1018.55,C
4,On,Off,1010.83,C
6,On,Off,1002.65,C
8,On,Off,984.39,C
10,On,Off,917.4,C
12,On,Off,904.23,C
-12,On,On,980.73,D
-10,On,On,1008.44,D
-8,On,On,1022.13,D
-6,On,On,1018.79,D
-4,On,On,1023.04,D
-2,On,On,1025.08,D
0,On,On,1026.11,D
2,On,On,1018.43,D
4,On,On,1013.81,D
6,On,On,1007.65,D
8,On,On,993.79,D
10,On,On,980.41,D
12,On,On,951.9,D
-12,On,On,963.28,D
-10,On,On,996.48,D
-8,On,On,1008.83,D
-6,On,On,1017.88,D
-4,On,On,1022.51,D
-2,On,On,1018.44,D
0,On,On,1015.67,D
2,On,On,1006.83,D
4,On,On,1003.98,D
6,On,On,995.92,D
8,On,On,978.94,D
10,On,On,946.54,D
12,On,On,948.33,D
-12,On,On,971.13,D
-10,On,On,1001.27,D
-8,On,On,1007.56,D
-6,On,On,1012.45,D
-4,On,On,1018.74,D
-2,On,On,1020.43,D
0,On,On,1015.43,D
2,On,On,1012.86,D
4,On,On,1002.94,D
6,On,On,998.43,D
8,On,On,989.57,D
10,On,On,967.33,D
12,On,On,928.43,D
