 ,Area,Mean,Min,Max,Perim.,Angle,Length
1,0.144,65.840,15.491,116.022,2.691,35.538,2.691
2,0.090,92.941,57.000,124.167,1.685,111.801,1.685
3,0.106,110.620,82.667,128.525,2.003,51.340,2.003
4,0.063,34.288,18.405,44.259,1.128,123.690,1.128
5,0.052,34.860,19.667,46.667,0.939,90.000,0.939
6,0.063,35.955,26.446,44.174,1.128,33.690,1.128
7,0.068,119.600,23.000,194.667,1.251,90.000,1.251
8,0.071,103.156,78.667,125.427,1.290,14.036,1.290
9,0.117,55.519,21.000,101.333,2.190,0.000,2.190
10,0.106,86.153,36.000,116.901,1.979,108.435,1.979
11,0.101,70.767,32.000,93.611,1.903,9.462,1.903
12,0.106,44.742,30.333,60.305,2.003,128.660,2.003
13,0.084,57.933,50.000,72.333,1.564,126.870,1.564
14,0.131,54.332,37.986,76.355,2.444,-39.806,2.444
15,0.122,78.900,13.333,218.041,2.278,15.945,2.278
16,0.177,22.427,12.333,38.292,3.326,41.186,3.326
17,0.150,17.642,9.667,45.000,2.816,90.000,2.816
18,0.152,21.646,18.679,24.039,2.884,102.529,2.884
19,0.120,24.841,12.126,42.572,2.256,56.310,2.256
20,0.220,19.501,12.013,37.513,4.197,-63.435,4.197
21,0.177,15.167,11.177,21.000,3.326,-48.814,3.326
22,0.131,17.553,13.520,22.505,2.444,50.194,2.444
23,0.131,42.598,39.592,46.527,2.444,-39.806,2.444
24,0.106,65.048,38.878,131.731,1.979,18.435,1.979
25,0.068,83.467,29.667,172.333,1.251,90.000,1.251
26,0.122,34.411,24.774,44.000,2.278,74.055,2.278
27,0.101,47.330,26.000,77.000,1.903,9.462,1.903
28,0.106,64.122,27.240,87.333,1.979,18.435,1.979
29,0.133,62.014,34.333,96.000,2.503,0.000,2.503
30,0.117,28.931,23.000,54.048,2.212,81.870,2.212
31,0.084,53.416,33.107,79.133,1.564,126.870,1.564
32,0.120,52.761,36.667,69.187,2.256,146.310,2.256
33,0.038,88.043,34.953,139.067,0.700,-26.565,0.700
34,0.120,31.076,25.317,34.263,2.256,33.690,2.256
35,0.106,96.265,61.000,114.082,2.003,-51.340,2.003
36,0.095,47.978,28.509,66.890,1.770,45.000,1.770
37,0.150,42.115,28.333,65.667,2.816,90.000,2.816
38,0.136,50.189,34.068,72.593,2.580,104.036,2.580
39,0.133,51.626,28.667,103.667,2.503,90.000,2.503
40,0.084,84.671,32.000,159.587,1.564,53.130,1.564
41,0.111,67.020,53.042,81.913,2.099,26.565,2.099
42,0.095,51.767,41.126,75.271,1.770,45.000,1.770
43,0.133,40.823,32.000,51.000,2.503,90.000,2.503
44,0.141,49.821,31.789,88.794,2.655,45.000,2.655
45,0.133,43.458,32.208,60.667,2.522,-97.125,2.522
46,0.182,57.275,42.333,78.727,3.456,84.806,3.456
47,0.136,79.338,65.755,117.848,2.580,14.036,2.580
48,0.133,69.115,47.333,93.667,2.522,97.125,2.522
49,0.090,69.482,54.333,83.492,1.685,-21.801,1.685
50,0.136,52.736,13.087,108.996,2.580,-104.036,2.580
51,0.131,57.179,48.809,64.374,2.444,50.194,2.444
52,0.133,30.122,25.250,35.958,2.522,7.125,2.522
53,0.101,81.604,19.667,194.000,1.877,90.000,1.877
54,0.152,63.400,52.454,81.143,2.884,77.471,2.884
55,0.212,90.722,48.000,199.069,4.007,51.340,4.007
56,0.133,48.061,23.000,71.000,2.503,90.000,2.503
57,0.131,50.244,29.965,90.185,2.444,140.194,2.444
58,0.098,48.138,39.000,79.252,1.824,149.036,1.824
59,0.193,56.766,44.000,77.633,3.649,-120.964,3.649
60,0.158,42.955,32.813,52.394,2.968,108.435,2.968
61,0.144,61.403,52.667,71.961,2.691,125.538,2.691
62,0.169,53.836,22.000,77.239,3.191,101.310,3.191
63,0.166,59.637,39.333,91.880,3.129,126.870,3.129
64,0.198,91.493,69.333,114.333,3.754,90.000,3.754
65,0.095,95.753,32.667,202.000,1.770,135.000,1.770
66,0.090,52.808,31.495,73.333,1.685,-158.199,1.685
67,0.201,43.989,35.571,52.217,3.806,99.462,3.806
68,0.166,44.640,39.633,53.667,3.144,84.289,3.144
69,0.098,49.458,40.333,61.907,1.824,120.964,1.824
70,0.133,41.810,31.667,54.167,2.522,172.875,2.522
71,0.133,66.204,32.000,110.667,2.503,180.000,2.503
72,0.141,59.682,38.116,98.043,2.655,135.000,2.655
