 ,Area,Mean,Min,Max,Perim.,Angle,Length
1,0.133,123.519,20.000,221.688,2.519,29.745,2.519
2,0.133,54.954,30.667,105.688,2.519,-29.745,2.519
3,0.111,76.056,52.333,93.853,2.096,-63.435,2.096
4,0.144,41.018,23.937,64.144,2.688,35.538,2.688
5,0.130,54.433,36.333,69.206,2.441,50.194,2.441
6,0.187,43.193,11.376,203.633,3.563,37.875,3.563
7,0.087,45.018,36.333,54.184,1.593,101.310,1.593
8,0.445,128.957,120.884,137.271,8.489,6.340,8.489
9,0.304,78.036,43.333,103.942,5.762,77.471,5.762
10,0.141,48.290,12.333,159.236,2.670,-20.556,2.670
11,0.372,59.242,16.000,87.967,7.085,-48.576,7.085
12,0.255,94.859,35.220,157.487,4.861,45.000,4.861
13,0.179,75.213,44.125,124.290,3.366,21.801,3.366
14,0.133,111.282,69.542,165.333,2.519,-7.125,2.519
15,0.339,78.552,59.071,99.677,6.442,-75.964,6.442
16,0.250,105.722,34.121,185.797,4.760,23.199,4.760
17,0.193,59.344,19.447,125.605,3.658,19.983,3.658
18,0.201,93.476,61.000,121.243,3.802,-9.462,3.802
19,0.187,108.019,40.152,157.667,3.563,15.255,3.563
20,0.182,72.296,27.333,116.333,3.452,5.194,3.452
21,0.361,88.083,61.971,124.298,6.854,24.228,6.854
22,0.106,82.042,61.000,102.172,1.976,18.435,1.976
23,0.119,65.035,35.350,204.667,2.253,56.310,2.253
24,0.483,68.153,45.603,98.110,9.228,61.699,9.228
25,0.366,36.649,24.854,51.549,6.988,10.305,6.988
26,0.157,55.857,28.333,93.584,2.965,71.565,2.965
27,0.212,58.506,21.854,207.145,4.002,38.660,4.002
28,0.491,78.501,45.000,105.000,9.375,0.000,9.375
29,0.157,122.537,18.363,221.266,2.948,32.005,2.948
30,0.106,28.407,24.000,33.310,1.976,-18.435,1.976
31,0.263,35.457,24.000,54.000,5.000,0.000,5.000
32,0.212,26.841,20.095,33.984,4.002,-38.660,4.002
33,0.152,66.293,28.667,106.747,2.881,12.529,2.881
34,0.231,46.102,22.667,69.667,4.375,90.000,4.375
35,0.255,45.466,24.544,71.773,4.851,75.069,4.851
36,0.323,59.379,29.168,111.333,6.156,23.962,6.156
37,0.426,76.326,49.821,102.615,8.149,94.399,8.149
38,0.410,51.982,33.000,69.333,7.812,0.000,7.812
39,0.296,74.388,49.333,99.667,5.625,0.000,5.625
40,0.382,76.479,36.151,109.656,7.289,-30.964,7.289
41,0.203,37.685,29.737,50.887,3.865,14.036,3.865
42,0.263,34.465,27.583,46.000,5.010,3.576,5.010
43,0.168,32.981,27.366,37.522,3.187,11.310,3.187
44,0.133,33.605,17.333,56.000,2.500,0.000,2.500
45,0.179,50.353,11.942,100.501,3.380,56.310,3.380
46,0.130,54.895,31.092,97.190,2.441,50.194,2.441
47,0.100,36.009,22.000,46.000,1.875,0.000,1.875
48,0.179,16.644,10.333,22.286,3.366,21.801,3.366
49,0.117,17.110,10.238,27.429,2.210,81.870,2.210
50,0.184,16.609,10.136,21.247,3.494,79.695,3.494
51,0.179,25.228,19.333,30.446,3.366,68.199,3.366
52,0.149,22.154,17.000,32.556,2.830,6.340,2.830
53,0.152,55.958,17.000,96.920,2.881,49.399,2.881
54,0.198,27.121,17.000,45.111,3.763,41.634,3.763
55,0.187,45.281,14.333,83.639,3.563,74.745,3.563
56,0.149,31.142,15.444,45.222,2.830,83.660,2.830
57,0.106,25.465,7.000,50.078,1.976,71.565,1.976
58,0.165,22.164,14.333,42.667,3.125,90.000,3.125
59,0.084,25.607,16.333,31.560,1.562,36.870,1.562
60,0.304,41.626,34.423,50.258,5.762,12.529,5.762
61,0.144,24.096,17.333,29.667,2.688,35.538,2.688
62,0.296,27.041,22.000,46.333,5.634,-93.180,5.634
63,0.274,32.234,20.548,48.873,5.201,-32.735,5.201
64,0.068,34.027,24.333,52.667,1.250,0.000,1.250
65,0.288,32.574,22.088,46.905,5.458,23.629,5.458
66,0.133,135.378,53.250,195.375,2.519,-82.875,2.519
